Sep 27 05:40:58.694 - [DEBUG] launcher web_control 127.0.0.1:60315 GET /config?cmd=get_config 
Sep 27 05:40:58.709 - [DEBUG] launcher web_control 127.0.0.1:60315 GET /config?cmd=get_config 
Sep 27 05:40:58.722 - [DEBUG] launcher web_control 127.0.0.1:60315 GET /img/switch-mask.png 
Sep 27 05:41:01.567 - [DEBUG] launcher web_control 127.0.0.1:60315 GET /config?cmd=get_config 
Sep 27 05:44:03.249 - [DEBUG] launcher web_control 127.0.0.1:60315 GET /config?cmd=get_config 
Sep 27 05:44:06.078 - [DEBUG] launcher web_control 127.0.0.1:60315 GET /config?cmd=get_config 
Sep 27 05:44:20.855 - [DEBUG] launcher web_control 127.0.0.1:60315 GET /config?cmd=get_config 
Sep 27 05:48:45.338 - [DEBUG] launcher web_control 127.0.0.1:60315 GET /config?cmd=get_config 
Sep 27 05:48:45.344 - [DEBUG] launcher web_control 127.0.0.1:60315 GET /config?cmd=get_config 
Sep 27 05:48:46.431 - [DEBUG] launcher web_control 127.0.0.1:61999 GET /config?cmd=get_config 
Sep 27 05:49:50.813 - [DEBUG] launcher web_control 127.0.0.1:60315 GET /config?cmd=get_config 
Sep 27 05:49:50.821 - [DEBUG] launcher web_control 127.0.0.1:61999 GET /config?cmd=get_config 
Sep 27 05:50:25.479 - [DEBUG] launcher web_control 127.0.0.1:61999 GET /config?cmd=get_config 
Sep 27 05:51:25.910 - [DEBUG] launcher web_control 127.0.0.1:61999 GET /config?cmd=get_config 
Sep 27 05:51:25.921 - [DEBUG] launcher web_control 127.0.0.1:61999 GET /config?cmd=get_config 
Sep 27 05:51:29.563 - [DEBUG] launcher web_control 127.0.0.1:61998 GET /config?cmd=get_config 
Sep 27 05:51:29.573 - [DEBUG] launcher web_control 127.0.0.1:61998 GET /config?cmd=get_config 
Sep 27 05:51:29.628 - [DEBUG] launcher web_control 127.0.0.1:61998 GET /favicon.ico 
